Name	Place	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District	Type	
PHC Poothrikka 	Poothrikka 	0484-2766118 	0	R 	phcpoothrikka@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Maneed 	Maneed 	0485-2267230 	24	R 	phcmaneed@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Kanjoor 	Kanjoor 	0484-2466110 	0	R 	phckanjoor@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC Kadungalloor 	Kadungalloor 	0484-2605349 	0	R 	phckadungallur@gmail.com 	Ernakulam 	Primary Health Centre	PHC
PHC R.V Puram 	R.V Puram 	0487-2331030 	0	U 	gdramavarmapuram@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Porathissery 	Porathissery 	0480-2823936 	0	U 	phcporathissery@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Choondal 	Choondal 	04885-242225 	0	R 	choondalphc@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Kandanasserry 	Kandanasserry 	04885-230435 	0	R 	kandanasseryphc@gmail.comp 	Thrissur 	Primary Health Centre	PHC
PHC Mathilakam 	Mathilakam 	0480-2641250 	0	R 	phcmathilakam@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Ollukkara 	Ollukkara 	0487-2372010 	0	U 	phcollukkara@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Avanoor 	Avanoor 	0487-2200310 	0	R 	phcavanoor@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Koorkkanchery 	Koorkkanchery 	0487-2448256 	0	U 	phckoorkanchery@yahoo.com,phckoorkanchery @gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Avinisserry 	Avinisserry 	0487-2346898 	0	R 	phcavinisery@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Mundathikodu 	Mundathikodu 	04885-267090 	0	U 	mundathikodephc@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Pavaratty 	Pavaratty 	0487-2642684 	0	R 	mopavaratty@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Mupliyam 	Mupliyam 	0480-2781846 	0	R 	phcmupliyam@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Alagappanagar 	Alagappanagar 	0480-2755124 	0	R 	alagappanagarphc@gmail.com 	Thrissur 	Primary Health Centre	PHC
PHC Melamuri 	Melamuri 	0491-2541880 	0	U 	phcmelamuri@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Thachampara 	Thachampara 	04924-256400 	0	R 	phcthachampara@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Thachanattukara 	Thachanattukara 	04924-262244 	0	R 	phctkra@yahoo.in 	Palakkad	Primary Health Centre	PHC
PHC Lakkidi 	Lakkidi 	0466-2231189 	20	R 	phclakkidi@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Ananganadi 	Ananganadi 	0466-2242400 	10	R 	phcananganadi@yahoo.in 	Palakkad	Primary Health Centre	PHC
PHC Nagalassery 	Nagalassery 	04662-370687 	0	R 	phcnagalassery@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Thirumittakode 	Thirumittakode 	0466-2259794 	0	R 	phcthirumittacode@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Kottappuram 	Kottappuram 	0466-2366121 	8	R 	phckottappuram@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Kodumbu 	Kodumbu 	0491-2570630 	0	R 	phckodumbu@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Pudunagaram 	Pudunagaram 	04923-253930 	0	R 	pudunagaramphc@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Parambikulam 	Parambikulam 	04253-277266 	0	R 	phcparambikulam@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Polpully 	Polpully 	04923-221465 	0	R 	phcpolpully@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Kulukallur 	Kulukallur 	04662-216956 	0	R 	mophckulukkallur@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Thiruvegapura 	Thiruvegapura 	0466-2219600 	0	R 	phcthiruvegappura@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Vilayur 	Vilayur 	0466-2315062 	0	R 	vilayurphc@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Pirayiri 	Pirayiri 	0491-2509016 	0	R 	phcpirayiri@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Melarcode 	Melarcode 	04922-244077 	0	R 	melarcode.phc@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Nelliyampathy 	Nelliyampathy 	04923-246456 	0	R 	nelliyampathyphc@gmail.com 	Palakkad	Primary Health Centre	PHC
PHC Amarambalam 	Amarambalam 	04931-261600 	0	R 	mophcamarambalam@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Kurubalangode 	Kurubalangode 	04931-208408 	0	R 	mophckurumbalangode@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Chathalloor 	Chathalloor 	0483-2216655 	0	R 	phcchathallur@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Kodur 	Kodur 	0483-2800200 	0	R 	phckodur@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Makkaraparamba 	Makkaraparamba 	04933-287311 	0	R 	phcmakkaraparamba@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Perumpadappu 	Perumpadappu 	0494-2653660 	0	R 	phcperumpadappu@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Edappatta 	Edappatta 	04933-211300 	0	R 	phcedappatta@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Keezhattur 	Keezhattur 	04933-217100 	10	R 	keezhatturphc@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Vettathur 	Vettathur 	04933-247320 	0	R 	mophcvettathur@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Kadalundinagaram 	Kadalundinagaram 	0494-2470840 	6	R 	mokphc@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Muthuvalloor Vilayil 	Muthuvalloor Vilayil 	0483-2114580 	0	R 	mophccheacode@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Keezhuparamba 	Keezhuparamba 	0483-2858866 	0	R 	mophckeezhuparamba@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Pookottur 	Pookottur 	0483-2774860 	24	R 	mobphcpookkottur@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Nediyiruppu 	Nediyiruppu 	0483-2712161 	0	U 	mophcnediyiruppu@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Oorakam 	Oorakam 	0494-2670420 	0	R 	mophcoorkam1@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Athavanad 	Athavanad 	0494-2112594 	0	R 	mophcathavanad@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Irimbiliyam 	Irimbiliyam 	0494-2638800 	0	R 	mophcirimbiliam@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Ezhavanthuruthy 	Ezhavanthuruthy 	0494-2664701 	0	U 	mophcezhuvathiruthy@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Cheriyamundam 	Cheriyamundam 	0494-2589610 	0	R 	mophccheriyamundam@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Kalpakanchery 	Kalpakanchery 	0494-2612500 	0	R 	mphckalpakanchery@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Othukkungal 	Othukkungal 	0483-2838500 	0	R 	othukkungalphc@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Thennala 	Thennala 	0494-2101770 	0	R 	thennalaphcmo@yahoo.co.in 	Malappuram	Primary Health Centre	PHC
PHC Mampad 	Mampad 	04931-200288 	10	R 	phcmampad@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Idarikode 	Idarikode 	0483-2118045 	0	R 	mophcedarikodenew@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Kannamangalam 	Kannamangalam 	0494-2490179 	0	R 	kannamangalamphc@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Kootayi 	Kootayi 	0494-2631888 	0	R 	mophckoottayi@gmail.com 	Malappuram	Primary Health Centre	PHC
PHC Mangad 	Mangad 	0496-2647565 	0	R 	mangadphc@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Kakayam 	Kakayam 	0496-2698191 	12	R 	phckakkayam@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Vayalada 	Vayalada 	Nil 	0	R 	vayaladaphc@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Koothali 	Koothali 	0496-2663462 	0	R 	phckoothali@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Cherupa 	Cherupa 	0495-2492045 	16	R 	mchcheruppa@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Velom 	Velom 	0496-2770880 	0	R 	medphcvelom@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Kunduthodu 	Kunduthodu 	0496-2566004 	0	R 	phckunduthode@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Kuruvattoor 	Kuruvattoor 	0495-2811900 	0	R 	phckuruvattoor@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Choolur 	Choolur 	0495-2801177 	0	R 	phcchoolur@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Kakoor 	Kakoor 	0495-2552063 	0	R 	kakkurphc@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Kizhakoth 	Kizhakoth 	0495-2201200 	0	R 	phckizhakkoth@yahoo.in 	Kozhikode 	Primary Health Centre	PHC
PHC Thurayur 	Thurayur 	0496-2470366 	0	R 	phcthurayur@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Thuneri 	Thuneri 	0496-2557287 	16	R 	phctuneri@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Cheryvannur Nellalam 	Cheryvannur Nellalam 	0495-2422235 	0	U 	phcnallalam@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Peruvayal 	Peruvayal 	Nil 	0	R 	chcorkkattery123@gmail.com 	Kozhikode 	Primary Health Centre	PHC
PHC Chulliode 	Chulliode 	04936-266049 	0	R 	phc.chulliode@gmail.com 	Wayanad	Primary Health Centre	PHC
PHC Varadoor 	Varadoor 	04936-289166 	0	R 	phc.varadoor@gmail.com 	Wayanad	Primary Health Centre	PHC
PHC Kappukunnu 	Kappukunnu 	04936-273322 	0	R 	phc.kappukunnu@gmail.com 	Wayanad	Primary Health Centre	PHC
PHC Mooppainad 	Mooppainad 	04936-230285 	0	R 	phcmoopainad@gmail.com 	Wayanad	Primary Health Centre	PHC
PHC Valad 	Valad 	04935-266586 	0	R 	phc.valad@gmail.com 	Wayanad	Primary Health Centre	PHC
PHC Chuzhali 	Chuzhali 	0460-2261687 	0	R 	phcchuzhali@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Muttom 	Muttom 	0497-2875956 	0	R 	muttomphc@yahoo.com 	Kannur	Primary Health Centre	PHC
PHC Alakkad 	Alakkad 	0460-2281400 	0	R 	phcalakkad@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Eruvesy 	Eruvesy 	0460-2292239 	0	R 	moeruvessy@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Kolachery 	Kolachery 	0460-2244500 	24	R 	phckolachery@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Pampuruthy 	Pampuruthy 	0497-2244786 	0	R 	pampuruthyphc@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Chandanakampara 	Chandanakampara 	0460-2214300 	0	R 	phcckpara@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Chittariparamba 	Chittariparamba 	0490-2301388 	0	R 	phcchittariparamba@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Karikkottakkari 	Karikkottakkari 	0490-2456111 	0	R 	phckarikkottakari@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Angadikadavu 	Angadikadavu 	0490-2427270 	24	R 	phcangadi@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Urathur 	Urathur 	04602-278312 	0	R 	phcurathur@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Keezhalloor 	Keezhalloor 	0490-2485930 	0	R 	phckeezhallur@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Kudiyanmala 	Kudiyanmala 	04602-219190 	4	R 	phckudiyanmala@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Alacode (Manakkadavu) 	Alacode (Manakkadavu) 	0460-2287188 	0	R 	phcmanakkadavu@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Ezhome 	Ezhome 	0497-2815163 	0	R 	phcezhome@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Panniyanoor 	Panniyanoor 	0490-2312730 	24	R 	phcpanniyannur@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Kannapuram 	Kannapuram 	0497-2863468 	0	R 	phckannapuram@gmail.com 	Kannur	Primary Health Centre	PHC
PHC 			45			Kannur	Primary Health Centre	PHC
PHC Puzhathi 	Puzhathi 	0497-2748950 	0	U 	medicalofficerphcpuzhathy@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Pallikunnu 	Pallikunnu 	0497-2744020 	0	U 	phcpallikunnu@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Kanichar 	Kanichar 	0490-2445422 	24	R 	mophckanichar@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Chalil 	Chalil 	0490-2343450 	0	U 	chalilphc@gmail.com 	Kannur	Primary Health Centre	PHC
PHC Karicheri 	Karicheri 	04994-284829 	0	R 	phckaricheri@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Bandadka 	Bandadka 	04994-215585 	0	R 	phcbandadka@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Kalanad 	Kalanad 	04994-237086 	0	R 	phckalanad@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Chengala 	Chengala 	04994-282824 	0	R 	phcchengala@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Konnakkad 	Konnakkad 	0467-2249105 	0	R 	phckonnakkad@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Meenja 	Meenja 	04998-252820 	0	R 	phcmeenja@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Arikady 	Arikady 	04998-232200 	0	R 	phcarikady@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Madhur 	Madhur 	04994-241177 	0	R 	phcmadhur@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Angadimogaru 	Angadimogaru 	04998-250292 	0	R 	phcangadimogaru@gmail.com 	Kasaragod 	Primary Health Centre	PHC
PHC Vaninagar 	Vaninagar 	04998-266550 	0	R 	phcvaninagar@gmail.com 	Kasaragod 	Primary Health Centre	PHC
FHC Poonthura 	Poonthura 	0471-2380427 	24	U 	phcpoonthura@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kattakada 	Kattakada 	0471-2293828 	20	R 	chckattakadaold@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Pozhiyoor 	Pozhiyoor 	0471-2213345 	28	R 	pozhiyoorphc2010@gamil.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Thiruvallom 	Thiruvallom 	0471-2485788 	0	U 	phcthiruvallom@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kunnathukal 	Kunnathukal 	0471-2250077 	24	R 	kklphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Tholikkodu 	Tholikkodu 	0472-2878580 	0	R 	phctholicode@yahoo.co.in 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Edava 	Edava 	0470-2661040 	24	R 	edavaphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Vettur 	Vettur 	0470-2612651 	0	R 	vettoorphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Thonippara 	Thonippara 	0470-2667177 	6	R 	phcthonippara@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Madavoor 	Madavoor 	0470-2681532 	0	R 	madavoorphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Pangappara 	Pangappara 	0471-2418038 	0	U 	mchunitpangapparatvpm@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Chettivilakam 	Chettivilakam 	0471-2730404 	0	R 	phcchettivilakam@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Chenkal 	Chenkal 	0471-2236622 	50	R 	phcchenkal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kulathoor 	Kulathoor 	0471-2209551 	0	R 	phckulathoor.2209551@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Karode 	Karode 	0471-2218561 	0	R 	phckarode@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Chembooru 	Chembooru 	0471-2257755 	0	R 	phcchemboor@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kollayil 	Kollayil 	0471-2234355 	10	R 	phckollayil@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Amboori 	Amboori 	0471-2246193 	0	R 	phcamboori@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kallikadu (new) 	Kallikadu (new) 	0471-2273715 	0	R 	kallikkadnewphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Uzhamalakkal 	Uzhamalakkal 	0472-2899677 	0	R 	phcuzhamalakkal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kuttichal 	Kuttichal 	0472-2854871 	0	R 	phckuttichal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kallikadu (old) 	Kallikadu (old) 	0471-2273739 	0	R 	phcvrkv@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Mukkola (Vizhinjam New) 	Mukkola (Vizhinjam New) 	0471-2484603 	0	U 	phcmukkola@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Veli 	Veli 	0471-2704618 	0	U 	veliphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Mudakkal 	Mudakkal 	0470-2637475 	0	R 	phcmudakkal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Perumathura 	Perumathura 	0471-2426533 	10	R 	perumathuraphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Puthukurichi 	Puthukurichi 	0471-2426562 	0	R 	puthukurichyphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Mangalapuram 	Mangalapuram 	0471-2424100 	0	R 	phcentremangalapuram@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Peringammala 	Peringammala 	0472-2846310 	0	R 	phcperingammala@yahoo.in 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Anakudi 	Anakudi 	0472-2837790 	0	R 	phcanakudy@yahoo.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Pullampara 	Pullampara 	0472-2828047 	0	R 	phcpullampara@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Panavoor 	Panavoor 	0472-2865449 	0	R 	phcpanavoor@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Anad 	Anad 	0472-2802375 	0	R 	phcanad@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Adayamon 	Adayamon 	0470-2649202 	0	R 	adayamonphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Karavaram 	Karavaram 	0470-2691700 	0	R 	phckaravaram@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Pulimath 	Pulimath 	0472-2861070 	0	R 	phcpulimath@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Cheruniyur 	Cheruniyur 	0470-2612678 	0	R 	crnyrphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Vilavoorkkal 	Vilavoorkkal 	0471-2284080 	0	R 	phcvil@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Maranalloor 	Maranalloor 	0471-2298524 	0	R	phcmaranalloor@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Vembayam 	Vembayam 	0472-2834833 	0	R	phcvembayam@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Manikal 	Manikal 	0472-2583433 	0	R	phcmanikal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Ottur 	Ottur 	0470-2612842 	0	R	ottoorphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Vattiyoorkavu 	Vattiyoorkavu 	0471-2364187 	0	U	phcvattiyoorkavu@yahoo.in 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Vamanapuram 	Vamanapuram 	0472-2835810 	14	R	phcvamanapuram@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kadakampally 	Kadakampally 	0471-2743392 	24	U	phckadakampalli@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Paraniyam 	Paraniyam 	0471-2263786 	0	R	paraniyamphc123@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Chemmaruthy 	Chemmaruthy 	0470-2612862 	0	R	cmyphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Poozhanad 	Poozhanad 	0471-2257575 	10	R	phcpoozhanad@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Katakada (New Amachal) 	Katakada (New Amachal) 	0471-2293475 	0	R	phcamachal@yahoo.in 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Thonnakkal 	Thonnakkal 	0471-2709898 	0	R	phcthonnakkal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Aruvikkara 	Aruvikkara 	0472-2886274 	0	R	phcaruvikkara@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Karakulam 	Karakulam 	0472-2587700 	0	R	karakulamphc@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kilimanoor 	Kilimanoor 	0470-2651313 	0	R	phckilimanoor@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Pallichal 	Pallichal 	0471-2400367 	0	R	phcpallichal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Balaramapuram 	Balaramapuram 	0471-2402209 	10	R	phcbalaramapuram@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Keezhattingal 	Keezhattingal 	0470-2621131 	0	R	phckeezhatingal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kottukal 	Kottukal 	0471-2269070 	0	R	mophckottukal@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Jagathy	Jagathy,Tvm 	Nil 	0	U	gdjagathy@gmail.com 	Thiruvananthapuram 	Family Health Centre	FHC
FHC Kulathupuzha 	Kulathupuzha 	0475-2319166 	12	R 	chckulathupuzha2018@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Thekkumbhagom 	Thekkumbhagom 	0476-2882896 	18	R 	chcthekkumbhagom@gmail. com 	Kollam 	Family Health Centre	FHC
FHC Mayyanadu 	Mayyanadu 	0474-2555050 	70	R 	chcmayyanad@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Palathara 	Palathara 	0474-2729075 	12	U 	palatharaphc@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Thazhava 	Thazhava 	0476-2665210 	0	R 	thazhava.primary.health.centre@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Munroe Island 	Munroe Island 	0474-2543448 	0	R 	munrouph@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Madathara 	Madathara 	0474-2440004 	5	R 	madatharaphc@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Pooyapally 	Pooyapally 	0474-2465724 	0	R 	phcentrepooyappally@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Paravoor Pozhikkar	Paravoor Pozhikkar	a 0474-2512299 	0	U 	phcpozhikkara@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Neduvathur 	Neduvathur 	0474-2045400 	0	R 	phcneduvathoor@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Ezhukone 	Ezhukone 	0474-2484737 	0	R 	phcezhukone@yahoo.com 	Kollam 	Family Health Centre	FHC
FHC Piravanthur 	Piravanthur 	0475-2231234 	0	R 	phcpiravanthoor@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Mancode Pathanapuram 	Mancode Pathanapuram 	0475-2379970 	0	R 	phcmancoduptpm@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Thalachira 	Thalachira 	0474-2408666 	0	R 	thalachiraphc@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Melila 	Melila 	0474-2404296 	0	R 	melilaphc@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Aryancavu 	Aryancavu 	0475-2345020 	0	R 	phcaryankavu@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Edamulakkal 	Edamulakkal 	0475-2207999 	0	R 	phcedamulackal@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Karavaloor 	Karavaloor 	0475-2253198 	0	R 	karavalur.phc@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Thevalakara 	Thevalakara 	0476-2877933 	0	R 	phctvk2011@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Sakthikulangara 	Sakthikulangara 	0474-2772388 	0	U 	phcsakthikulangara@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Alayamon 	Alayamon 	0475-2270132 	0	R 	phcalayamon@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Mancode Chithara 	Mancode Chithara 	0474-2427111 	0	R 	mophcmancode@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Elamadu 	Elamadu 	0474-2671999 	0	R 	phcelamadu1@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Ittiva 	Ittiva 	0474-2439289 	0	R 	ittivaphc@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Thrikkarua 	Thrikkarua 	0474-2704440 	0	R 	phcthrikkaruva@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Kilikalloor 	Kilikalloor 	0474-2707988 	0	U 	phckili@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Kunnathoor 	Kunnathoor 	0476-2858181 	0	R 	phckunnathur@gmail.com 	Kollam 	Family Health Centre	FHC
FHC East Kallada 	East Kallada 	0474-2586688 	0	R 	eastkph@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Ezhukone Pavithraswaram 	Ezhukone Pavithraswaram 	0474-2484710 	0	R 	phcentreep@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Sooranadu South 	Sooranadu South 	0476-2853340 	0	R 	phcsooranadusouth@gmail.com 	Kollam 	Family Health Centre	FHC
FHC West Kallada 	West Kallada 	0476-2833112 	0	R 	phcwestkallada1@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Vallikavu 	Vallikavu 	0476-2896126 	0	R 	phcvallikavu@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Alappadu 	Alappadu 	0476-2826336 	0	R 	alappadphc@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Azheekal 	Azheekal 	0476-2611106 	0	R 	phcazheekal@gmail.com 	Kollam 	Family Health Centre	FHC
FHC 						Kollam 	Family Health Centre	FHC
FHC Thodiyoor 	Thodiyoor 	0476-2666287 	0	R 	phcthodiyoor@gmail.com 	Kollam 	Family Health Centre	FHC
FHC Perayam 	Perayam 	0474-2580330 	0	R 	perayamph@gmail.com 	Kollam 	Family Health Centre	FHC
