Name	Place	Type	Phone Number 	Sanctioned bed 	Rural/Urban 	email-id 	District
PHC Kodumbu 	Kodumbu 	Primary Health Centre	0491-2570630 	0	R 	phckodumbu@gmail.com 	Palakkad
PHC Pudunagaram 	Pudunagaram 	Primary Health Centre	04923-253930 	0	R 	pudunagaramphc@gmail.com 	Palakkad
PHC Parambikulam 	Parambikulam 	Primary Health Centre	04253-277266 	0	R 	phcparambikulam@gmail.com 	Palakkad
PHC Polpully 	Polpully 	Primary Health Centre	04923-221465 	0	R 	phcpolpully@gmail.com 	Palakkad
PHC Kulukallur 	Kulukallur 	Primary Health Centre	04662-216956 	0	R 	mophckulukkallur@gmail.com 	Palakkad
PHC Thiruvegapura 	Thiruvegapura 	Primary Health Centre	0466-2219600 	0	R 	phcthiruvegappura@gmail.com 	Palakkad
PHC Vilayur 	Vilayur 	Primary Health Centre	0466-2315062 	0	R 	vilayurphc@gmail.com 	Palakkad
PHC Pirayiri 	Pirayiri 	Primary Health Centre	0491-2509016 	0	R 	phcpirayiri@gmail.com 	Palakkad
PHC Melarcode 	Melarcode 	Primary Health Centre	04922-244077 	0	R 	melarcode.phc@gmail.com 	Palakkad
PHC Nelliyampathy 	Nelliyampathy 	Primary Health Centre	04923-246456 	0	R 	nelliyampathyphc@gmail.com 	Palakkad
PHC Amarambalam 	Amarambalam 	Primary Health Centre	04931-261600 	0	R 	mophcamarambalam@gmail.com 	Malappuram
PHC Kurubalangode 	Kurubalangode 	Primary Health Centre	04931-208408 	0	R 	mophckurumbalangode@gmail.com 	Malappuram
PHC Chathalloor 	Chathalloor 	Primary Health Centre	0483-2216655 	0	R 	phcchathallur@gmail.com 	Malappuram
PHC Kodur 	Kodur 	Primary Health Centre	0483-2800200 	0	R 	phckodur@gmail.com 	Malappuram
PHC Makkaraparamba 	Makkaraparamba 	Primary Health Centre	04933-287311 	0	R 	phcmakkaraparamba@gmail.com 	Malappuram
PHC Perumpadappu 	Perumpadappu 	Primary Health Centre	0494-2653660 	0	R 	phcperumpadappu@gmail.com 	Malappuram
PHC Edappatta 	Edappatta 	Primary Health Centre	04933-211300 	0	R 	phcedappatta@gmail.com 	Malappuram
PHC Keezhattur 	Keezhattur 	Primary Health Centre	04933-217100 	10	R 	keezhatturphc@gmail.com 	Malappuram
PHC Vettathur 	Vettathur 	Primary Health Centre	04933-247320 	0	R 	mophcvettathur@gmail.com 	Malappuram
PHC Kadalundinagaram 	Kadalundinagaram 	Primary Health Centre	0494-2470840 	6	R 	mokphc@gmail.com 	Malappuram
PHC Muthuvalloor Vilayil 	Muthuvalloor Vilayil 	Primary Health Centre	0483-2114580 	0	R 	mophccheacode@gmail.com 	Malappuram
PHC Keezhuparamba 	Keezhuparamba 	Primary Health Centre	0483-2858866 	0	R 	mophckeezhuparamba@gmail.com 	Malappuram
PHC Pookottur 	Pookottur 	Primary Health Centre	0483-2774860 	24	R 	mobphcpookkottur@gmail.com 	Malappuram
PHC Nediyiruppu 	Nediyiruppu 	Primary Health Centre	0483-2712161 	0	U 	mophcnediyiruppu@gmail.com 	Malappuram
PHC Oorakam 	Oorakam 	Primary Health Centre	0494-2670420 	0	R 	mophcoorkam1@gmail.com 	Malappuram
PHC Athavanad 	Athavanad 	Primary Health Centre	0494-2112594 	0	R 	mophcathavanad@gmail.com 	Malappuram
PHC Irimbiliyam 	Irimbiliyam 	Primary Health Centre	0494-2638800 	0	R 	mophcirimbiliam@gmail.com 	Malappuram
PHC Ezhavanthuruthy 	Ezhavanthuruthy 	Primary Health Centre	0494-2664701 	0	U 	mophcezhuvathiruthy@gmail.com 	Malappuram
PHC Cheriyamundam 	Cheriyamundam 	Primary Health Centre	0494-2589610 	0	R 	mophccheriyamundam@gmail.com 	Malappuram
PHC Kalpakanchery 	Kalpakanchery 	Primary Health Centre	0494-2612500 	0	R 	mphckalpakanchery@gmail.com 	Malappuram
PHC Othukkungal 	Othukkungal 	Primary Health Centre	0483-2838500 	0	R 	othukkungalphc@gmail.com 	Malappuram
PHC Thennala 	Thennala 	Primary Health Centre	0494-2101770 	0	R 	thennalaphcmo@yahoo.co.in 	Malappuram
PHC Mampad 	Mampad 	Primary Health Centre	04931-200288 	10	R 	phcmampad@gmail.com 	Malappuram
PHC Idarikode 	Idarikode 	Primary Health Centre	0483-2118045 	0	R 	mophcedarikodenew@gmail.com 	Malappuram
PHC Kannamangalam 	Kannamangalam 	Primary Health Centre	0494-2490179 	0	R 	kannamangalamphc@gmail.com 	Malappuram
PHC Kootayi 	Kootayi 	Primary Health Centre	0494-2631888 	0	R 	mophckoottayi@gmail.com 	Malappuram
PHC Mangad 	Mangad 	Primary Health Centre	0496-2647565 	0	R 	mangadphc@gmail.com 	Kozhikode 
PHC Kakayam 	Kakayam 	Primary Health Centre	0496-2698191 	12	R 	phckakkayam@gmail.com 	Kozhikode 
PHC Vayalada 	Vayalada 	Primary Health Centre	Nil 	0	R 	vayaladaphc@gmail.com 	Kozhikode 
PHC Koothali 	Koothali 	Primary Health Centre	0496-2663462 	0	R 	phckoothali@gmail.com 	Kozhikode 
PHC Cherupa 	Cherupa 	Primary Health Centre	0495-2492045 	16	R 	mchcheruppa@gmail.com 	Kozhikode 
PHC Velom 	Velom 	Primary Health Centre	0496-2770880 	0	R 	medphcvelom@gmail.com 	Kozhikode 
PHC Kunduthodu 	Kunduthodu 	Primary Health Centre	0496-2566004 	0	R 	phckunduthode@gmail.com 	Kozhikode 
PHC Kuruvattoor 	Kuruvattoor 	Primary Health Centre	0495-2811900 	0	R 	phckuruvattoor@gmail.com 	Kozhikode 
PHC Choolur 	Choolur 	Primary Health Centre	0495-2801177 	0	R 	phcchoolur@gmail.com 	Kozhikode 
PHC Kakoor 	Kakoor 	Primary Health Centre	0495-2552063 	0	R 	kakkurphc@gmail.com 	Kozhikode 
PHC Kizhakoth 	Kizhakoth 	Primary Health Centre	0495-2201200 	0	R 	phckizhakkoth@yahoo.in 	Kozhikode 
PHC Thurayur 	Thurayur 	Primary Health Centre	0496-2470366 	0	R 	phcthurayur@gmail.com 	Kozhikode 
PHC Thuneri 	Thuneri 	Primary Health Centre	0496-2557287 	16	R 	phctuneri@gmail.com 	Kozhikode 
PHC Cheryvannur Nellalam 	Cheryvannur Nellalam 	Primary Health Centre	0495-2422235 	0	U 	phcnallalam@gmail.com 	Kozhikode 
PHC Peruvayal 	Peruvayal 	Primary Health Centre	Nil 	0	R 	chcorkkattery123@gmail.com 	Kozhikode 
PHC Chulliode 	Chulliode 	Primary Health Centre	04936-266049 	0	R 	phc.chulliode@gmail.com 	Wayanad
PHC Varadoor 	Varadoor 	Primary Health Centre	04936-289166 	0	R 	phc.varadoor@gmail.com 	Wayanad
PHC Kappukunnu 	Kappukunnu 	Primary Health Centre	04936-273322 	0	R 	phc.kappukunnu@gmail.com 	Wayanad
PHC Mooppainad 	Mooppainad 	Primary Health Centre	04936-230285 	0	R 	phcmoopainad@gmail.com 	Wayanad
PHC Valad 	Valad 	Primary Health Centre	04935-266586 	0	R 	phc.valad@gmail.com 	Wayanad
PHC Chuzhali 	Chuzhali 	Primary Health Centre	0460-2261687 	0	R 	phcchuzhali@gmail.com 	Kannur
PHC Muttom 	Muttom 	Primary Health Centre	0497-2875956 	0	R 	muttomphc@yahoo.com 	Kannur
PHC Alakkad 	Alakkad 	Primary Health Centre	0460-2281400 	0	R 	phcalakkad@gmail.com 	Kannur
PHC Eruvesy 	Eruvesy 	Primary Health Centre	0460-2292239 	0	R 	moeruvessy@gmail.com 	Kannur
PHC Kolachery 	Kolachery 	Primary Health Centre	0460-2244500 	24	R 	phckolachery@gmail.com 	Kannur
PHC Pampuruthy 	Pampuruthy 	Primary Health Centre	0497-2244786 	0	R 	pampuruthyphc@gmail.com 	Kannur
PHC Chandanakampara 	Chandanakampara 	Primary Health Centre	0460-2214300 	0	R 	phcckpara@gmail.com 	Kannur
PHC Chittariparamba 	Chittariparamba 	Primary Health Centre	0490-2301388 	0	R 	phcchittariparamba@gmail.com 	Kannur
PHC Karikkottakkari 	Karikkottakkari 	Primary Health Centre	0490-2456111 	0	R 	phckarikkottakari@gmail.com 	Kannur
PHC Angadikadavu 	Angadikadavu 	Primary Health Centre	0490-2427270 	24	R 	phcangadi@gmail.com 	Kannur
PHC Urathur 	Urathur 	Primary Health Centre	04602-278312 	0	R 	phcurathur@gmail.com 	Kannur
PHC Keezhalloor 	Keezhalloor 	Primary Health Centre	0490-2485930 	0	R 	phckeezhallur@gmail.com 	Kannur
PHC Kudiyanmala 	Kudiyanmala 	Primary Health Centre	04602-219190 	4	R 	phckudiyanmala@gmail.com 	Kannur
PHC Alacode (Manakkadavu) 	Alacode (Manakkadavu) 	Primary Health Centre	0460-2287188 	0	R 	phcmanakkadavu@gmail.com 	Kannur
PHC Ezhome 	Ezhome 	Primary Health Centre	0497-2815163 	0	R 	phcezhome@gmail.com 	Kannur
PHC Panniyanoor 	Panniyanoor 	Primary Health Centre	0490-2312730 	24	R 	phcpanniyannur@gmail.com 	Kannur
PHC Kannapuram 	Kannapuram 	Primary Health Centre	0497-2863468 	0	R 	phckannapuram@gmail.com 	Kannur
PHC 		Primary Health Centre		45			Kannur
PHC Puzhathi 	Puzhathi 	Primary Health Centre	0497-2748950 	0	U 	medicalofficerphcpuzhathy@gmail.com 	Kannur
PHC Pallikunnu 	Pallikunnu 	Primary Health Centre	0497-2744020 	0	U 	phcpallikunnu@gmail.com 	Kannur
PHC Kanichar 	Kanichar 	Primary Health Centre	0490-2445422 	24	R 	mophckanichar@gmail.com 	Kannur
PHC Chalil 	Chalil 	Primary Health Centre	0490-2343450 	0	U 	chalilphc@gmail.com 	Kannur
PHC Karicheri 	Karicheri 	Primary Health Centre	04994-284829 	0	R 	phckaricheri@gmail.com 	Kasaragod 
PHC Bandadka 	Bandadka 	Primary Health Centre	04994-215585 	0	R 	phcbandadka@gmail.com 	Kasaragod 
PHC Kalanad 	Kalanad 	Primary Health Centre	04994-237086 	0	R 	phckalanad@gmail.com 	Kasaragod 
PHC Chengala 	Chengala 	Primary Health Centre	04994-282824 	0	R 	phcchengala@gmail.com 	Kasaragod 
PHC Konnakkad 	Konnakkad 	Primary Health Centre	0467-2249105 	0	R 	phckonnakkad@gmail.com 	Kasaragod 
PHC Meenja 	Meenja 	Primary Health Centre	04998-252820 	0	R 	phcmeenja@gmail.com 	Kasaragod 
PHC Arikady 	Arikady 	Primary Health Centre	04998-232200 	0	R 	phcarikady@gmail.com 	Kasaragod 
PHC Madhur 	Madhur 	Primary Health Centre	04994-241177 	0	R 	phcmadhur@gmail.com 	Kasaragod 
PHC Angadimogaru 	Angadimogaru 	Primary Health Centre	04998-250292 	0	R 	phcangadimogaru@gmail.com 	Kasaragod 
PHC Vaninagar 	Vaninagar 	Primary Health Centre	04998-266550 	0	R 	phcvaninagar@gmail.com 	Kasaragod 
FHC Poonthura 	Poonthura 	Family Health Centre	0471-2380427 	24	U 	phcpoonthura@gmail.com 	Thiruvananthapuram 
FHC Kattakada 	Kattakada 	Family Health Centre	0471-2293828 	20	R 	chckattakadaold@gmail.com 	Thiruvananthapuram 
FHC Pozhiyoor 	Pozhiyoor 	Family Health Centre	0471-2213345 	28	R 	pozhiyoorphc2010@gamil.com 	Thiruvananthapuram 
FHC Thiruvallom 	Thiruvallom 	Family Health Centre	0471-2485788 	0	U 	phcthiruvallom@gmail.com 	Thiruvananthapuram 
FHC Kunnathukal 	Kunnathukal 	Family Health Centre	0471-2250077 	24	R 	kklphc@gmail.com 	Thiruvananthapuram 
FHC Tholikkodu 	Tholikkodu 	Family Health Centre	0472-2878580 	0	R 	phctholicode@yahoo.co.in 	Thiruvananthapuram 
FHC Edava 	Edava 	Family Health Centre	0470-2661040 	24	R 	edavaphc@gmail.com 	Thiruvananthapuram 
FHC Vettur 	Vettur 	Family Health Centre	0470-2612651 	0	R 	vettoorphc@gmail.com 	Thiruvananthapuram 
FHC Thonippara 	Thonippara 	Family Health Centre	0470-2667177 	6	R 	phcthonippara@gmail.com 	Thiruvananthapuram 
FHC Madavoor 	Madavoor 	Family Health Centre	0470-2681532 	0	R 	madavoorphc@gmail.com 	Thiruvananthapuram 
FHC Pangappara 	Pangappara 	Family Health Centre	0471-2418038 	0	U 	mchunitpangapparatvpm@gmail.com 	Thiruvananthapuram 
FHC Chettivilakam 	Chettivilakam 	Family Health Centre	0471-2730404 	0	R 	phcchettivilakam@gmail.com 	Thiruvananthapuram 
FHC Chenkal 	Chenkal 	Family Health Centre	0471-2236622 	50	R 	phcchenkal@gmail.com 	Thiruvananthapuram 
FHC Kulathoor 	Kulathoor 	Family Health Centre	0471-2209551 	0	R 	phckulathoor.2209551@gmail.com 	Thiruvananthapuram 
FHC Karode 	Karode 	Family Health Centre	0471-2218561 	0	R 	phckarode@gmail.com 	Thiruvananthapuram 
FHC Chembooru 	Chembooru 	Family Health Centre	0471-2257755 	0	R 	phcchemboor@gmail.com 	Thiruvananthapuram 
FHC Kollayil 	Kollayil 	Family Health Centre	0471-2234355 	10	R 	phckollayil@gmail.com 	Thiruvananthapuram 
FHC Amboori 	Amboori 	Family Health Centre	0471-2246193 	0	R 	phcamboori@gmail.com 	Thiruvananthapuram 
FHC Kallikadu (new) 	Kallikadu (new) 	Family Health Centre	0471-2273715 	0	R 	kallikkadnewphc@gmail.com 	Thiruvananthapuram 
FHC Uzhamalakkal 	Uzhamalakkal 	Family Health Centre	0472-2899677 	0	R 	phcuzhamalakkal@gmail.com 	Thiruvananthapuram 
FHC Kuttichal 	Kuttichal 	Family Health Centre	0472-2854871 	0	R 	phckuttichal@gmail.com 	Thiruvananthapuram 
FHC Kallikadu (old) 	Kallikadu (old) 	Family Health Centre	0471-2273739 	0	R 	phcvrkv@gmail.com 	Thiruvananthapuram 
FHC Mukkola (Vizhinjam New) 	Mukkola (Vizhinjam New) 	Family Health Centre	0471-2484603 	0	U 	phcmukkola@gmail.com 	Thiruvananthapuram 
FHC Veli 	Veli 	Family Health Centre	0471-2704618 	0	U 	veliphc@gmail.com 	Thiruvananthapuram 
FHC Mudakkal 	Mudakkal 	Family Health Centre	0470-2637475 	0	R 	phcmudakkal@gmail.com 	Thiruvananthapuram 
FHC Perumathura 	Perumathura 	Family Health Centre	0471-2426533 	10	R 	perumathuraphc@gmail.com 	Thiruvananthapuram 
FHC Puthukurichi 	Puthukurichi 	Family Health Centre	0471-2426562 	0	R 	puthukurichyphc@gmail.com 	Thiruvananthapuram 
FHC Mangalapuram 	Mangalapuram 	Family Health Centre	0471-2424100 	0	R 	phcentremangalapuram@gmail.com 	Thiruvananthapuram 
FHC Peringammala 	Peringammala 	Family Health Centre	0472-2846310 	0	R 	phcperingammala@yahoo.in 	Thiruvananthapuram 
FHC Anakudi 	Anakudi 	Family Health Centre	0472-2837790 	0	R 	phcanakudy@yahoo.com 	Thiruvananthapuram 
FHC Pullampara 	Pullampara 	Family Health Centre	0472-2828047 	0	R 	phcpullampara@gmail.com 	Thiruvananthapuram 
FHC Panavoor 	Panavoor 	Family Health Centre	0472-2865449 	0	R 	phcpanavoor@gmail.com 	Thiruvananthapuram 
FHC Anad 	Anad 	Family Health Centre	0472-2802375 	0	R 	phcanad@gmail.com 	Thiruvananthapuram 
FHC Adayamon 	Adayamon 	Family Health Centre	0470-2649202 	0	R 	adayamonphc@gmail.com 	Thiruvananthapuram 
FHC Karavaram 	Karavaram 	Family Health Centre	0470-2691700 	0	R 	phckaravaram@gmail.com 	Thiruvananthapuram 
FHC Pulimath 	Pulimath 	Family Health Centre	0472-2861070 	0	R 	phcpulimath@gmail.com 	Thiruvananthapuram 
FHC Cheruniyur 	Cheruniyur 	Family Health Centre	0470-2612678 	0	R 	crnyrphc@gmail.com 	Thiruvananthapuram 
FHC Vilavoorkkal 	Vilavoorkkal 	Family Health Centre	0471-2284080 	0	R 	phcvil@gmail.com 	Thiruvananthapuram 
FHC Maranalloor 	Maranalloor 	Family Health Centre	0471-2298524 	0	R	phcmaranalloor@gmail.com 	Thiruvananthapuram 
FHC Vembayam 	Vembayam 	Family Health Centre	0472-2834833 	0	R	phcvembayam@gmail.com 	Thiruvananthapuram 
FHC Manikal 	Manikal 	Family Health Centre	0472-2583433 	0	R	phcmanikal@gmail.com 	Thiruvananthapuram 
FHC Ottur 	Ottur 	Family Health Centre	0470-2612842 	0	R	ottoorphc@gmail.com 	Thiruvananthapuram 
FHC Vattiyoorkavu 	Vattiyoorkavu 	Family Health Centre	0471-2364187 	0	U	phcvattiyoorkavu@yahoo.in 	Thiruvananthapuram 
FHC Vamanapuram 	Vamanapuram 	Family Health Centre	0472-2835810 	14	R	phcvamanapuram@gmail.com 	Thiruvananthapuram 
FHC Kadakampally 	Kadakampally 	Family Health Centre	0471-2743392 	24	U	phckadakampalli@gmail.com 	Thiruvananthapuram 
FHC Paraniyam 	Paraniyam 	Family Health Centre	0471-2263786 	0	R	paraniyamphc123@gmail.com 	Thiruvananthapuram 
FHC Chemmaruthy 	Chemmaruthy 	Family Health Centre	0470-2612862 	0	R	cmyphc@gmail.com 	Thiruvananthapuram 
FHC Poozhanad 	Poozhanad 	Family Health Centre	0471-2257575 	10	R	phcpoozhanad@gmail.com 	Thiruvananthapuram 
FHC Katakada (New Amachal) 	Katakada (New Amachal) 	Family Health Centre	0471-2293475 	0	R	phcamachal@yahoo.in 	Thiruvananthapuram 
FHC Thonnakkal 	Thonnakkal 	Family Health Centre	0471-2709898 	0	R	phcthonnakkal@gmail.com 	Thiruvananthapuram 
FHC Aruvikkara 	Aruvikkara 	Family Health Centre	0472-2886274 	0	R	phcaruvikkara@gmail.com 	Thiruvananthapuram 
FHC Karakulam 	Karakulam 	Family Health Centre	0472-2587700 	0	R	karakulamphc@gmail.com 	Thiruvananthapuram 
FHC Kilimanoor 	Kilimanoor 	Family Health Centre	0470-2651313 	0	R	phckilimanoor@gmail.com 	Thiruvananthapuram 
FHC Pallichal 	Pallichal 	Family Health Centre	0471-2400367 	0	R	phcpallichal@gmail.com 	Thiruvananthapuram 
FHC Balaramapuram 	Balaramapuram 	Family Health Centre	0471-2402209 	10	R	phcbalaramapuram@gmail.com 	Thiruvananthapuram 
FHC Keezhattingal 	Keezhattingal 	Family Health Centre	0470-2621131 	0	R	phckeezhatingal@gmail.com 	Thiruvananthapuram 
FHC Kottukal 	Kottukal 	Family Health Centre	0471-2269070 	0	R	mophckottukal@gmail.com 	Thiruvananthapuram 
FHC Jagathy	Jagathy,Tvm 	Family Health Centre	Nil 	0	U	gdjagathy@gmail.com 	Thiruvananthapuram 
FHC Kulathupuzha 	Kulathupuzha 	Family Health Centre	0475-2319166 	12	R 	chckulathupuzha2018@gmail.com 	Kollam 
FHC Thekkumbhagom 	Thekkumbhagom 	Family Health Centre	0476-2882896 	18	R 	chcthekkumbhagom@gmail. com 	Kollam 
FHC Mayyanadu 	Mayyanadu 	Family Health Centre	0474-2555050 	70	R 	chcmayyanad@gmail.com 	Kollam 
FHC Palathara 	Palathara 	Family Health Centre	0474-2729075 	12	U 	palatharaphc@gmail.com 	Kollam 
FHC Thazhava 	Thazhava 	Family Health Centre	0476-2665210 	0	R 	thazhava.primary.health.centre@gmail.com 	Kollam 
FHC Munroe Island 	Munroe Island 	Family Health Centre	0474-2543448 	0	R 	munrouph@gmail.com 	Kollam 
FHC Madathara 	Madathara 	Family Health Centre	0474-2440004 	5	R 	madatharaphc@gmail.com 	Kollam 
FHC Pooyapally 	Pooyapally 	Family Health Centre	0474-2465724 	0	R 	phcentrepooyappally@gmail.com 	Kollam 
FHC Paravoor Pozhikkar	Paravoor Pozhikkar	Family Health Centre	a 0474-2512299 	0	U 	phcpozhikkara@gmail.com 	Kollam 
FHC Neduvathur 	Neduvathur 	Family Health Centre	0474-2045400 	0	R 	phcneduvathoor@gmail.com 	Kollam 
FHC Ezhukone 	Ezhukone 	Family Health Centre	0474-2484737 	0	R 	phcezhukone@yahoo.com 	Kollam 
FHC Piravanthur 	Piravanthur 	Family Health Centre	0475-2231234 	0	R 	phcpiravanthoor@gmail.com 	Kollam 
FHC Mancode Pathanapuram 	Mancode Pathanapuram 	Family Health Centre	0475-2379970 	0	R 	phcmancoduptpm@gmail.com 	Kollam 
FHC Thalachira 	Thalachira 	Family Health Centre	0474-2408666 	0	R 	thalachiraphc@gmail.com 	Kollam 
FHC Melila 	Melila 	Family Health Centre	0474-2404296 	0	R 	melilaphc@gmail.com 	Kollam 
FHC Aryancavu 	Aryancavu 	Family Health Centre	0475-2345020 	0	R 	phcaryankavu@gmail.com 	Kollam 
FHC Edamulakkal 	Edamulakkal 	Family Health Centre	0475-2207999 	0	R 	phcedamulackal@gmail.com 	Kollam 
FHC Karavaloor 	Karavaloor 	Family Health Centre	0475-2253198 	0	R 	karavalur.phc@gmail.com 	Kollam 
FHC Thevalakara 	Thevalakara 	Family Health Centre	0476-2877933 	0	R 	phctvk2011@gmail.com 	Kollam 
FHC Sakthikulangara 	Sakthikulangara 	Family Health Centre	0474-2772388 	0	U 	phcsakthikulangara@gmail.com 	Kollam 
FHC Alayamon 	Alayamon 	Family Health Centre	0475-2270132 	0	R 	phcalayamon@gmail.com 	Kollam 
FHC Mancode Chithara 	Mancode Chithara 	Family Health Centre	0474-2427111 	0	R 	mophcmancode@gmail.com 	Kollam 
FHC Elamadu 	Elamadu 	Family Health Centre	0474-2671999 	0	R 	phcelamadu1@gmail.com 	Kollam 
FHC Ittiva 	Ittiva 	Family Health Centre	0474-2439289 	0	R 	ittivaphc@gmail.com 	Kollam 
FHC Thrikkarua 	Thrikkarua 	Family Health Centre	0474-2704440 	0	R 	phcthrikkaruva@gmail.com 	Kollam 
FHC Kilikalloor 	Kilikalloor 	Family Health Centre	0474-2707988 	0	U 	phckili@gmail.com 	Kollam 
FHC Kunnathoor 	Kunnathoor 	Family Health Centre	0476-2858181 	0	R 	phckunnathur@gmail.com 	Kollam 
FHC East Kallada 	East Kallada 	Family Health Centre	0474-2586688 	0	R 	eastkph@gmail.com 	Kollam 
FHC Ezhukone Pavithraswaram 	Ezhukone Pavithraswaram 	Family Health Centre	0474-2484710 	0	R 	phcentreep@gmail.com 	Kollam 
FHC Sooranadu South 	Sooranadu South 	Family Health Centre	0476-2853340 	0	R 	phcsooranadusouth@gmail.com 	Kollam 
FHC West Kallada 	West Kallada 	Family Health Centre	0476-2833112 	0	R 	phcwestkallada1@gmail.com 	Kollam 
FHC Vallikavu 	Vallikavu 	Family Health Centre	0476-2896126 	0	R 	phcvallikavu@gmail.com 	Kollam 
FHC Alappadu 	Alappadu 	Family Health Centre	0476-2826336 	0	R 	alappadphc@gmail.com 	Kollam 
FHC Azheekal 	Azheekal 	Family Health Centre	0476-2611106 	0	R 	phcazheekal@gmail.com 	Kollam 
FHC 		Family Health Centre					Kollam 
FHC Thodiyoor 	Thodiyoor 	Family Health Centre	0476-2666287 	0	R 	phcthodiyoor@gmail.com 	Kollam 
FHC Perayam 	Perayam 	Family Health Centre	0474-2580330 	0	R 	perayamph@gmail.com 	Kollam 
FHC Thrikovilvattom 	Thrikovilvattom 	Family Health Centre	0474-2504880 	0	R 	phcthrikovilvattom@gmail.com 	Kollam 
FHC Perinad 	Perinad 	Family Health Centre	0474-2551111 	0	R 	phcperinad@gmail.com 	Kollam 
FHC Perumon 	Perumon 	Family Health Centre	0474-2550470 	0	R 	panayamph@gmail.com 	Kollam 
FHC Chadayamangalam 	Chadayamangalam 	Family Health Centre	0474-2477700 	12	R 	phcchadayamangalam@gmail.com 	Kollam 
FHC Veliyam 	Veliyam 	Family Health Centre	0474-2494345 	0	R 	phcveliyam@yahoo.com 	Kollam 
FHC Vilakudy 	Vilakudy 	Family Health Centre	0475-2325900 	0	R 	phcvilakkudy@gmail.com 	Kollam 
FHC Chathanoor 	Chathanoor 	Family Health Centre	0474-2595959 	0	R 	phcchathannoor@gmail.com 	Kollam 
FHC Thenmala 	Thenmala 	Family Health Centre	0475-2344212 	0	R 	phcthenmala@gmail.com 	Kollam 
FHC S.N.Puram 	S.N.Puram 	Family Health Centre	0474-2415092 	0	R 	snpuramphc@gmail.com 	Kollam 
FHC Ummannoor 	Ummannoor 	Family Health Centre	0474-2493900 	0	R 	ummannoorphc@gmail.com 	Kollam 
FHC K.S.Puram 	K.S.Puram 	Family Health Centre	0476-2621495 	0	R 	phc.kspuram@gmail.com 	Kollam 
FHC Chavara 	Chavara 	Family Health Centre	0476-2681500 	16	R 	chcchavara@gmail.com 	Kollam 
FHC Eravipuram 	Eravipuram 	Family Health Centre	0474-2725514 	0	U 	phceravipuram@gmail.com 	Kollam 
FHC Elampalloor 	Elampalloor 	Family Health Centre	0474-2547361 	0	R 	phckottamkaraklm@gmail.com 	Kollam 
FHC Ezhumattoor 	Ezhumattoor 	Family Health Centre	0469-2794368 	24	R 	ezhumattoor.chc@gmail.com 	Pathanamthitta 
FHC Vechoochira 	Vechoochira 	Family Health Centre	04735-265476 	24	R 	vechoochirachc@gmail.com 	Pathanamthitta 
FHC Kunnamthanam 	Kunnamthanam 	Family Health Centre	0469-2691915 	0	R 	phckunnamthanam@gmail.com 	Pathanamthitta 
FHC Vallana 	Vallana 	Family Health Centre	0468-2287779 	0	R 	vallanachc@gmail.com 	Pathanamthitta 
FHC Chittar 	Chittar 	Family Health Centre	04735-256577 	0	R 	phc77chittar@gmail.com 	Pathanamthitta 
FHC Chandanappally 	Chandanappally 	Family Health Centre	0468-2355597 	24	R 	phcchandanapally@gmail.com 	Pathanamthitta 
FHC Koipuram 	Koipuram 	Family Health Centre	0469-2660056 	24	R 	koipuramphc@gmail.com 	Pathanamthitta 
FHC Kulanada 	Kulanada 	Family Health Centre	04734-262277 	24	R 	phckulanada1@gmail.com 	Pathanamthitta 
FHC Mezhuveli 	Mezhuveli 	Family Health Centre	0468-2287176 	0	R 	mezhuveliphc@gmail.com 	Pathanamthitta 
FHC Omalloor 	Omalloor 	Family Health Centre	0468-2356341 	0	R 	phcomalloor@gmail.com 	Pathanamthitta 
FHC Kadammanitta 	Kadammanitta 	Family Health Centre	04735-245613 	24	R 	phckadammanitta@gmail.com 	Pathanamthitta 
FHC Thelliyoor 	Thelliyoor 	Family Health Centre	0469-2650795 	24	R 	thelliyoorphc@gmail.com 	Pathanamthitta 
FHC Cherukole 	Cherukole 	Family Health Centre	04735-245673 	24	R 	phccherukole@gmail.com 	Pathanamthitta 
FHC Naranamoozhy 	Naranamoozhy 	Family Health Centre	04735-271244 	0	R 	phcnaranammoozhy@gmail.com 	Pathanamthitta 
FHC Ranni Pazhavangadi 	Ranni Pazhavangadi 	Family Health Centre	04735-260600 	0	R 	phcpazhavangadi99@gmail.com 	Pathanamthitta 
FHC Erathu 	Erathu 	Family Health Centre	04734-223472 	0	R 	phcerathu1@gmail.com 	Pathanamthitta 
FHC Ezhamkulam 	Ezhamkulam 	Family Health Centre	04734-243700 	0	R 	ezhamkulamphc@gmail.com 	Pathanamthitta 
FHC Kadampanadu 	Kadampanadu 	Family Health Centre	04734-283836 	24	R 	kadambanadphc@gmail.com 	Pathanamthitta 
FHC Koodal 	Koodal 	Family Health Centre	04734-270796 	24	R 	phckoodal388@gmail.com 	Pathanamthitta 
FHC Kokkathodu 	Kokkathodu 	Family Health Centre	0468-2242428 	0	R 	kokkathoduphc@gmail.com 	Pathanamthitta 
FHC Mylapra 	Mylapra 	Family Health Centre	0468-2276224 	0	R 	phcmylapra@gmail.com 	Pathanamthitta 
FHC Seethathodu 	Seethathodu 	Family Health Centre	04735-259247 	0	R 	seethathoduphc99@gmail.com 	Pathanamthitta 
FHC Puramattom 	Puramattom 	Family Health Centre	0469-2665010 	0	R 	phcpuramattom10@yahoo.in 	Pathanamthitta 
